,partid,gamble_lab,samplesize,switchfreq,switchcount,decision,group,domain,session,switch_grp,pairtype,ev_diff,L_id,L_ev,L_ev_var,H_id,H_ev,H_ev_var
795,12,S21G3,37,0.05555555555555555,2,H,old,loss,21,rare,HH-LL,1.22105263158,19.0,-6.047368421,14.693877551,7.0,-4.8263157894,74.788975384
796,12,S21G4,43,0.023809523809523808,1,L,old,loss,21,rare,HL-LH,1.06526315789,3.0,-6.1989473684,77.8035456607,21.0,-5.1336842105,29.576582148
797,12,S2G1,114,0.0625,7,L,old,gain,2,rare,HH-LL,0.902105263158,31.0,5.04,23.957979798,26.0,5.94210526316,62.3879612451
798,12,S2G2,64,0.031746031746031744,2,H,old,gain,2,rare,HL-LH,0.778947368421,24.0,5.17684210526,76.6866625438,37.0,5.95578947368,23.1937744795
799,12,S2G3,98,0.041666666666666664,4,H,old,loss,2,rare,HH-LL,0.845263157895,19.0,-6.02210526316,16.8979591837,7.0,-5.17684210526,76.6866625438
800,12,S2G4,58,0.017241379310344827,1,L,old,loss,2,rare,HL-LH,0.91,0.0,-6.02,64.83,22.0,-5.11,24.74
801,12,S3G1,68,0.0,0,L,old,gain,3,rare,HH-LL,0.927368421053,28.0,5.01842105263,29.693877551,23.0,5.94578947368,67.270459699
802,12,S3G2,86,0.023529411764705882,2,H,old,gain,3,rare,HL-LH,1.02105263158,27.0,4.96947368421,61.6334776335,33.0,5.99052631579,14.693877551
803,12,S3G3,59,0.01694915254237288,1,H,old,loss,3,rare,HH-LL,1.15157894737,15.0,-5.96,10.7342815914,7.0,-4.8084210526,74.4423830138
804,12,S3G4,45,0.0,0,H,old,loss,3,rare,HL-LH,1.07789473684,2.0,-5.9263157894,74.1430632859,20.0,-4.8484210526,15.6668728097
805,12,S4G1,56,0.0,0,L,old,gain,4,rare,HH-LL,1.02105263158,30.0,4.81684210526,12.7280972995,27.0,5.83789473684,79.530818388
806,12,S4G2,36,0.027777777777777776,1,H,old,gain,4,rare,HL-LH,0.823157894737,27.0,5.13684210526,60.1937744795,37.0,5.96,18.9478787879
